
   INFO  Server running on [http://127.0.0.1:8000].

  Press Ctrl+C to stop the server

  2026-07-08 04:09:00 / .......................................... ~ 500.84ms
  2026-07-08 04:09:01 /login ....................................... ~ 0.07ms
  2026-07-08 04:16:45 / ............................................ ~ 0.22ms
  2026-07-08 04:16:46 /login ....................................... ~ 0.06ms
  2026-07-08 04:16:47 /register .................................. ~ 503.92ms
  2026-07-08 04:16:51 /register .................................... ~ 0.17ms
  2026-07-08 04:16:53 /register .................................. ~ 501.58ms
  2026-07-08 04:16:53 / ............................................ ~ 0.07ms
  2026-07-08 04:16:54 / .......................................... ~ 504.39ms
  2026-07-08 04:16:57 / ............................................ ~ 0.16ms
  2026-07-08 04:16:57 /trigger-sync ................................ ~ 0.06ms
  2026-07-08 04:16:58 /trigger-sync ................................ ~ 0.21ms
  2026-07-08 04:16:58 /_boost/browser-logs ....................... ~ 500.76ms
  2026-07-08 04:16:59 /tasks/store ................................. ~ 0.20ms
  2026-07-08 04:16:59 / ............................................ ~ 0.05ms
  2026-07-08 04:16:59 /_boost/browser-logs ......................... ~ 0.06ms
  2026-07-08 04:16:59 /_boost/browser-logs ......................... ~ 0.23ms
